scope	category	file	alloc_vec_direct	alloc_vec_bound	s0_string_direct	s0_string_bound	arena_vec_direct	arena_vec_bound	small_vec_direct	small_vec_bound
s1_to_s2	lower	crates/vize_ricalco/src/lower/cx.rs	1	4	1	7	0	0	0	0
s1_to_s2	lower	crates/vize_ricalco/src/lower/directive.rs	1	6	0	0	0	0	0	0
s1_to_s2	lower	crates/vize_ricalco/src/lower/element.rs	1	2	0	0	1	4	0	0
s1_to_s2	-	crates/vize_ricalco/src/lower/expr.rs	0	0	1	3	0	0	0	0
s1_to_s2	lower	crates/vize_ricalco/src/lower/forop.rs	1	2	1	5	1	2	0	0
s1_to_s2	-	crates/vize_ricalco/src/lower/leaf.rs	0	0	1	5	1	4	0	0
s1_to_s2	-	crates/vize_ricalco/src/lower/once_memo.rs	0	0	1	3	0	0	0	0
s1_to_s2	-	crates/vize_ricalco/src/lower/slot.rs	0	0	1	6	1	4	0	0
s1_to_s2	lower	crates/vize_ricalco/src/lower/structural.rs	1	10	1	4	1	13	0	0
s1_to_s2	lower	crates/vize_ricalco/src/lower/structural/wrapper.rs	1	2	1	6	0	0	0	0
s1_to_s2	lower	crates/vize_ricalco/src/lower/sugar.rs	1	1	1	2	0	0	0	0
s1_to_s2	lower	crates/vize_ricalco/src/lower/text.rs	1	4	1	8	1	0	0	0
s1_to_s2	lower	crates/vize_ricalco/src/lower/text/condense.rs	1	5	1	2	0	0	0	0
s1_to_s2	-	crates/vize_ricalco/src/lower/vfor.rs	0	0	0	0	0	0	1	1
s1_to_s2	-	crates/vize_ricalco/src/pass/hoist/consts.rs	0	0	2	0	0	0	0	0
s1_to_s2	pass	crates/vize_ricalco/src/pass/hoist/lattice.rs	1	2	2	0	0	0	0	0
s1_to_s2	-	crates/vize_ricalco/src/pass/legacy/filter.rs	0	0	1	7	0	0	0	0
s1_to_s2	pass	crates/vize_ricalco/src/pass/legacy/ids.rs	1	5	0	0	0	0	0	0
s1_to_s2	-	crates/vize_ricalco/src/pass/legacy/on.rs	0	0	0	0	1	2	0	0
s1_to_s2	-	crates/vize_ricalco/src/pass/legacy/slot.rs	0	0	0	0	1	2	0	0
s1_to_s2	-	crates/vize_ricalco/src/pass/legacy/sync.rs	0	0	1	2	1	5	0	0
s1_to_s2	-	crates/vize_ricalco/src/pass/legacy/tree.rs	0	0	0	0	1	1	0	0
s1_to_s2	pass	crates/vize_ricalco/src/pass/text.rs	1	3	1	1	0	0	0	0
s1_to_s2	pass	crates/vize_ricalco/src/pass/vfor.rs	1	5	1	3	0	0	0	0
s1_to_s2	pass	crates/vize_ricalco/src/pass/vif.rs	1	5	1	6	0	0	0	0
s1_to_s2	-	crates/vize_ricalco/src/pass/vif/keys.rs	0	0	1	4	1	3	0	0
s1_to_s2	pass	crates/vize_ricalco/src/pass/vmodel.rs	1	9	1	12	0	0	0	0
s1_to_s2	pass	crates/vize_ricalco/src/pass/vmodel/check.rs	1	1	1	5	0	0	0	0
s1_to_s2	pass	crates/vize_ricalco/src/pass/vslot.rs	1	2	1	4	0	0	0	0
s1_to_s2	pass	crates/vize_ricalco/src/pass/vslot/consume.rs	1	8	1	6	0	0	0	0
s1_to_s2	pass	crates/vize_ricalco/src/pass/vslot/group.rs	1	6	1	11	0	0	0	0
s1_to_s2	pass	crates/vize_ricalco/src/pass/vslot/spell.rs	1	1	1	10	0	0	0	0
s1	-	crates/vize_sinopia/src/build.rs	0	0	0	0	1	5	0	0
s1	-	crates/vize_sinopia/src/build/tag.rs	0	0	0	0	1	4	0	0
s1	-	crates/vize_sinopia/src/event.rs	0	0	0	0	1	2	0	0
s1	-	crates/vize_sinopia/src/parse.rs	0	0	0	0	1	5	0	0
s1	-	crates/vize_sinopia/src/surface.rs	0	0	0	0	1	3	0	0
